token_id,threshold,coverage,success,precision,status,total_count
3041,0.48,60,60,1.0,ok,162
3062,0.97,44475,44475,1.0,ok,189362
3063,0.86,53,53,1.0,ok,139
3072,0.54,88,88,1.0,ok,231
3076,0.35,97,97,1.0,ok,142
3082,,0,0,,fallback_no_valid_threshold,339
3083,,0,0,,fallback_no_valid_threshold,146
3085,,0,0,,fallback_no_valid_threshold,113
3089,0.5,80,80,1.0,ok,145
3099,0.58,137,137,1.0,ok,250
3105,0.85,238,238,1.0,ok,806
3117,0.82,233,233,1.0,ok,2183
3124,0.76,67,67,1.0,ok,260
3141,0.59,94,94,1.0,ok,245
3158,,0,0,,fallback_no_valid_threshold,150
3165,,0,0,,fallback_no_valid_threshold,401
3173,0.8,914,914,1.0,ok,4144
3175,0.39,75,75,1.0,ok,154
3179,,0,0,,fallback_no_valid_threshold,254
3182,0.65,72,72,1.0,ok,227
3193,0.79,165,165,1.0,ok,670
3207,0.78,2490,2490,1.0,ok,8800
3209,0.61,490,490,1.0,ok,2033
3212,0.65,225,225,1.0,ok,830
3214,0.86,162,162,1.0,ok,1838
3226,0.67,128,128,1.0,ok,388
3237,0.79,140,140,1.0,ok,561
3248,0.71,416,416,1.0,ok,2357
3252,,0,0,,fallback_no_valid_threshold,167
3258,0.46,114,114,1.0,ok,210
3260,0.68,53,53,1.0,ok,601
3261,,0,0,,fallback_no_valid_threshold,134
3262,0.53,101,101,1.0,ok,241
3278,0.86,480,480,1.0,ok,1799
3279,,0,0,,fallback_no_valid_threshold,223
3282,0.62,96,96,1.0,ok,252
3284,0.57,69,69,1.0,ok,170
3303,0.53,82,82,1.0,ok,229
3308,0.67,88,88,1.0,ok,361
3310,0.71,54,54,1.0,ok,205
3320,0.78,1205,1205,1.0,ok,4461
3322,0.8,87,87,1.0,ok,348
3330,0.56,153,153,1.0,ok,368
3334,,0,0,,fallback_no_valid_threshold,109
3361,0.89,379,379,1.0,ok,2654
3368,0.6,193,193,1.0,ok,340
3386,0.36,89,89,1.0,ok,162
3390,0.85,859,859,1.0,ok,3902
3392,0.8,1564,1564,1.0,ok,8331
3393,0.65,147,147,1.0,ok,345
3397,0.55,108,108,1.0,ok,299
3405,0.5,87,87,1.0,ok,125
3421,,0,0,,fallback_no_valid_threshold,119
3435,0.53,127,127,1.0,ok,270
3450,0.42,118,118,1.0,ok,187
3456,0.73,85,85,1.0,ok,320
3476,0.59,193,193,1.0,ok,615
3484,,0,0,,fallback_no_valid_threshold,292
3501,0.77,160,160,1.0,ok,576
3513,0.93,4574,4574,1.0,ok,15239
3521,0.81,199,199,1.0,ok,810
3522,0.54,90,90,1.0,ok,209
3524,0.84,79,79,1.0,ok,374
3525,0.63,84,84,1.0,ok,406
3535,0.86,3546,3546,1.0,ok,10479
3544,0.77,330,330,1.0,ok,3438
3553,0.97,2082,2082,1.0,ok,9973
3554,0.6,213,213,1.0,ok,513
3634,0.97,2932,2932,1.0,ok,15034
3639,0.75,279,279,1.0,ok,591
3649,0.6,80,80,1.0,ok,156
3650,0.72,311,311,1.0,ok,944
3652,0.98,3025,3025,1.0,ok,15466
3654,0.71,171,171,1.0,ok,501
3656,,0,0,,fallback_no_valid_threshold,147
3665,0.7,50,50,1.0,ok,213
3678,0.86,2744,2744,1.0,ok,8580
3692,0.48,93,93,1.0,ok,180
3696,0.76,105,105,1.0,ok,552
3698,0.97,5624,5624,1.0,ok,34031
3699,0.77,210,210,1.0,ok,751
3710,,0,0,,fallback_no_valid_threshold,117
3715,0.93,1265,1265,1.0,ok,3027
3716,0.4,60,60,1.0,ok,126
3717,0.42,160,160,1.0,ok,194
3720,0.56,125,125,1.0,ok,187
3727,0.66,162,162,1.0,ok,743
3731,,0,0,,fallback_no_valid_threshold,302
3733,0.97,455,455,1.0,ok,2361
3742,0.59,190,190,1.0,ok,549
3743,0.73,207,207,1.0,ok,681
3745,0.83,2280,2280,1.0,ok,12580
3748,0.77,74,74,1.0,ok,514
3751,0.7,52,52,1.0,ok,183
3753,,0,0,,fallback_no_valid_threshold,280
3766,0.92,894,894,1.0,ok,8589
3772,,0,0,,fallback_no_valid_threshold,265
3777,0.47,66,66,1.0,ok,110
3779,0.69,133,133,1.0,ok,334
3780,0.74,150,150,1.0,ok,734
3781,0.91,73,73,1.0,ok,484
3783,0.67,227,227,1.0,ok,342
3793,0.47,66,66,1.0,ok,105
3797,0.61,552,552,1.0,ok,1765
3798,0.57,117,117,1.0,ok,196
3805,,0,0,,fallback_no_valid_threshold,162
3809,0.73,274,274,1.0,ok,1588
3817,0.6,191,191,1.0,ok,346
3825,0.6,153,153,1.0,ok,472
3841,0.48,97,97,1.0,ok,363
3846,0.68,149,149,1.0,ok,562
3859,0.81,342,342,1.0,ok,910
3862,0.8,414,414,1.0,ok,2903
3871,0.91,456,456,1.0,ok,2100
3882,0.64,86,86,1.0,ok,145
3886,0.81,2969,2969,1.0,ok,11063
3893,0.83,125,125,1.0,ok,1200
3912,,0,0,,fallback_no_valid_threshold,116
3923,,0,0,,fallback_no_valid_threshold,112
3930,,0,0,,fallback_no_valid_threshold,143
3935,0.77,2118,2118,1.0,ok,8542
3939,,0,0,,fallback_no_valid_threshold,295
3942,0.86,1869,1869,1.0,ok,5434
3945,,0,0,,fallback_no_valid_threshold,123
3955,0.6,52,52,1.0,ok,148
3957,0.88,257,257,1.0,ok,821
3965,0.78,99,99,1.0,ok,420
3968,0.46,73,73,1.0,ok,178
3971,0.76,230,230,1.0,ok,460
3972,0.34,83,83,1.0,ok,126
3974,0.59,119,119,1.0,ok,357
4003,,0,0,,fallback_no_valid_threshold,400
4058,0.83,285,285,1.0,ok,617
4074,0.66,1217,1217,1.0,ok,3183
4082,0.69,133,133,1.0,ok,395
4086,0.86,783,783,1.0,ok,14096
4104,0.55,113,113,1.0,ok,276
4105,0.7,112,112,1.0,ok,413
4107,0.7,180,180,1.0,ok,632
4108,0.73,97,97,1.0,ok,452
4117,,0,0,,fallback_no_valid_threshold,208
4124,0.94,2664,2664,1.0,ok,10286
4127,,0,0,,fallback_no_valid_threshold,203
