token_id,count,mean,p05,p10,p15,p25,p50,p75,min_conf,max_conf
17931,28,0.9702845982142857,0.8568359375,0.867578125,0.953125,0.9697265625,1.0,1.0,0.74609375,1.0
15294,28,0.9222935267857143,0.6033203125,0.694921875,0.82421875,0.9345703125,1.0,1.0,0.44140625,1.0
3220,27,0.8474392361111112,0.545703125,0.62109375,0.66484375,0.75390625,0.8515625,1.0,0.427734375,1.0
5733,27,0.5970775462962963,0.3970703125,0.40078125,0.405859375,0.4111328125,0.48828125,0.724609375,0.35546875,1.0
13530,27,0.8520688657407407,0.53828125,0.5734375,0.59296875,0.666015625,0.95703125,1.0,0.294921875,1.0
1697,27,0.8198061342592593,0.482421875,0.60078125,0.6734375,0.7265625,0.87890625,0.9296875,0.404296875,1.0
12771,27,0.7264901620370371,0.4314453125,0.4703125,0.487890625,0.544921875,0.69921875,0.9453125,0.40625,1.0
11192,27,0.9040798611111112,0.538671875,0.67265625,0.746875,0.875,1.0,1.0,0.3671875,1.0
92866,27,0.9526186342592593,0.63671875,0.92734375,0.95703125,0.986328125,1.0,1.0,0.451171875,1.0
3607,27,0.869140625,0.4525390625,0.5328125,0.64140625,0.849609375,0.95703125,1.0,0.4140625,1.0
3776,27,0.8271846064814815,0.4552734375,0.4984375,0.571484375,0.685546875,0.95703125,1.0,0.3125,1.0
33420,27,0.9074797453703703,0.48046875,0.64296875,0.66015625,0.962890625,1.0,1.0,0.365234375,1.0
1786,26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23268,26,0.9417818509615384,0.796875,0.806640625,0.86328125,0.93359375,1.0,1.0,0.451171875,1.0
912,26,0.8551682692307693,0.48193359375,0.736328125,0.83984375,0.8681640625,0.8828125,0.89453125,0.427734375,1.0
25904,26,0.9498197115384616,0.7041015625,0.84375,0.9248046875,0.9697265625,1.0,1.0,0.546875,1.0
729,26,0.7759164663461539,0.279052734375,0.3974609375,0.4609375,0.6005859375,0.953125,1.0,0.2001953125,1.0
30306,26,0.8218900240384616,0.51123046875,0.587890625,0.619140625,0.677734375,0.841796875,1.0,0.41015625,1.0
10856,26,0.9020432692307693,0.5703125,0.63671875,0.7822265625,0.8701171875,0.98046875,1.0,0.49609375,1.0
4766,26,0.7336237980769231,0.4716796875,0.4814453125,0.50439453125,0.556640625,0.775390625,0.8984375,0.439453125,1.0
7409,26,0.9619891826923077,0.630859375,1.0,1.0,1.0,1.0,1.0,0.50390625,1.0
7589,26,0.8598257211538461,0.5673828125,0.58203125,0.6025390625,0.7509765625,0.947265625,1.0,0.3828125,1.0
50,26,0.8995643028846154,0.359375,0.529296875,0.7783203125,1.0,1.0,1.0,0.291015625,1.0
4389,26,0.7318021334134616,0.122802734375,0.3037109375,0.46923828125,0.5732421875,0.87109375,0.9541015625,0.07080078125,1.0
3460,26,0.9095552884615384,0.591796875,0.68359375,0.734375,0.884765625,0.99609375,1.0,0.51171875,1.0
2669,26,0.6182016225961539,0.159912109375,0.1689453125,0.173583984375,0.17578125,0.73828125,0.9560546875,0.142578125,1.0
879,25,0.780234375,0.341015625,0.4339843750000001,0.55,0.62109375,0.8203125,0.9609375,0.33203125,1.0
21241,25,0.850625,0.56875,0.628125,0.6796875,0.75390625,0.8984375,0.98046875,0.50390625,1.0
8364,25,0.72884765625,0.08164062500000001,0.1015625,0.23515624999999993,0.61328125,0.87109375,1.0,0.06396484375,1.0
6672,25,0.724453125,0.371484375,0.400390625,0.48828124999999994,0.6015625,0.75390625,0.89453125,0.341796875,1.0
1537,25,0.828828125,0.448046875,0.5457031250000001,0.65234375,0.7265625,0.8984375,1.0,0.3984375,1.0
339,25,0.956875,0.7515625,0.8390625,0.88359375,0.97265625,1.0,1.0,0.703125,1.0
7920,25,0.935,0.7265625,0.8078125,0.82890625,0.875,1.0,1.0,0.6875,1.0
422,25,0.920546875,0.5265625,0.690625,0.840625,0.95703125,1.0,1.0,0.443359375,1.0
3363,25,0.675390625,0.4671875,0.4921875,0.4921875,0.515625,0.546875,0.84765625,0.361328125,1.0
16486,25,0.867578125,0.61953125,0.64296875,0.68515625,0.796875,0.93359375,1.0,0.486328125,1.0
5562,25,0.89984375,0.53125,0.71875,0.74921875,0.8671875,0.9765625,1.0,0.431640625,1.0
6176,25,0.93953125,0.54140625,0.7070312500000001,0.94375,1.0,1.0,1.0,0.52734375,1.0
30270,25,0.56546875,0.394921875,0.416015625,0.45,0.494140625,0.546875,0.66796875,0.37109375,0.828125
2382,25,0.96875,0.82734375,0.90390625,0.9578125,0.96875,1.0,1.0,0.75390625,1.0
